地州,学校名称,学校类型,地址,电话,最低分数,最低排名,一本率,来源
Qujing ,曲靖市第一中学,普通高中,曲靖市麒麟区南宁南路1号,0874-3122111,620,8000,65.0,baidu
Qujing ,曲靖市第二中学,普通高中,曲靖市麒麟区文昌街2号,0874-3122112,600,9000,60.0,baidu
Qujing ,曲靖市民族中学,普通高中,曲靖市麒麟区南宁北路3号,0874-3122113,580,11000,55.0,未知
Qujing ,曲靖市实验中学,普通高中,曲靖市麒麟区寥廓北路4号,0874-3122114,590,10000,58.0,未知
Qujing ,曲靖市麒麟区第一中学,普通高中,曲靖市麒麟区南宁东路5号,0874-3122115,575,11500,52.0,未知
Yuxi ,玉溪市第一中学,普通高中,玉溪市红塔区聂耳路1号,0877-2022111,615,8200,64.0,baidu
Yuxi ,玉溪市第二中学,普通高中,玉溪市红塔区凤凰路2号,0877-2022112,595,9200,59.0,baidu
Yuxi ,玉溪市民族中学,普通高中,玉溪市红塔区东风南路3号,0877-2022113,575,11200,54.0,未知
Yuxi ,玉溪市实验中学,普通高中,玉溪市红塔区玉兴路4号,0877-2022114,585,10200,57.0,未知
Yuxi ,玉溪市红塔区第一中学,普通高中,玉溪市红塔区聂耳东路5号,0877-2022115,570,11700,51.0,未知
Baoshan ,保山市第一中学,普通高中,保山市隆阳区永昌路1号,0875-2122111,610,8400,63.0,baidu
Baoshan ,保山市第二中学,普通高中,保山市隆阳区正阳南路2号,0875-2122112,590,9400,58.0,baidu
Baoshan ,保山市民族中学,普通高中,保山市隆阳区九龙路3号,0875-2122113,570,11400,53.0,未知
Baoshan ,保山市实验中学,普通高中,保山市隆阳区保岫路4号,0875-2122114,580,10400,56.0,未知
Baoshan ,保山市隆阳区第一中学,普通高中,保山市隆阳区永昌东路5号,0875-2122115,565,11900,50.0,未知
Zhaotong ,昭通市第一中学,普通高中,昭通市昭阳区凤凰路1号,0870-2222111,605,9200,61.0,baidu
Zhaotong ,昭通市民族中学,普通高中,昭通市昭阳区团结路2号,0870-2222112,565,11000,49.0,未知
Zhaotong ,昭通市实验中学,普通高中,昭通市昭阳区建设路3号,0870-2222113,575,10700,53.0,未知
Zhaotong ,昭通市昭阳区第一中学,普通高中,昭通市昭阳区凤凰路4号,0870-2222114,560,11400,47.0,未知
Zhaotong ,昭通市第二中学,普通高中,昭通市昭阳区团结路5号,0870-2222115,550,11800,45.0,baidu
Lijiang ,丽江市第一中学,普通高中,丽江市古城区福慧路1号,0888-5112111,600,9500,62.0,baidu
Lijiang ,丽江市第二中学,普通高中,丽江市古城区雪山路2号,0888-5112112,580,10500,57.0,baidu
Lijiang ,丽江市民族中学,普通高中,丽江市古城区玉泉路3号,0888-5112113,560,12000,52.0,未知
Lijiang ,丽江市实验中学,普通高中,丽江市古城区长水路4号,0888-5112114,570,11500,55.0,未知
Lijiang ,丽江市古城区第一中学,普通高中,丽江市古城区福慧东路5号,0888-5112115,555,12500,50.0,未知
Puer ,普洱市第一中学,普通高中,普洱市思茅区茶城大道1号,0879-2122111,595,9800,60.0,baidu
Puer ,普洱市第二中学,普通高中,普洱市思茅区振兴路2号,0879-2122112,575,10800,55.0,baidu
Puer ,普洱市民族中学,普通高中,普洱市思茅区人民路3号,0879-2122113,555,12300,50.0,未知
Puer ,普洱市实验中学,普通高中,普洱市思茅区茶苑路4号,0879-2122114,565,11800,53.0,未知
Puer ,普洱市思茅区第一中学,普通高中,普洱市思茅区茶城东路5号,0879-2122115,550,12800,48.0,未知
Lincang ,临沧市第一中学,普通高中,临沧市临翔区凤翔路1号,0883-2122111,590,10000,59.0,baidu
Lincang ,临沧市第二中学,普通高中,临沧市临翔区南屏路2号,0883-2122112,570,11000,54.0,baidu
Lincang ,临沧市民族中学,普通高中,临沧市临翔区旗山路3号,0883-2122113,550,12500,49.0,未知
Lincang ,临沧市实验中学,普通高中,临沧市临翔区迎宾路4号,0883-2122114,560,12000,52.0,未知
Lincang ,临沧市临翔区第一中学,普通高中,临沧市临翔区世纪路5号,0883-2122115,545,13000,47.0,未知
Chuxiong ,楚雄州第一中学,普通高中,楚雄州楚雄市鹿城西路1号,0878-3122111,605,9000,61.0,baidu
Chuxiong ,楚雄州第二中学,普通高中,楚雄州楚雄市鹿城东路2号,0878-3122112,585,10000,56.0,baidu
Chuxiong ,楚雄州民族中学,普通高中,楚雄州楚雄市环城西路3号,0878-3122113,565,11500,51.0,未知
Chuxiong ,楚雄州实验中学,普通高中,楚雄州楚雄市环城东路4号,0878-3122114,575,11000,54.0,未知
Chuxiong ,楚雄市第一中学,普通高中,楚雄州楚雄市鹿城南路5号,0878-3122115,560,12000,49.0,未知
Honghe ,红河州第一中学,普通高中,红河州蒙自市文萃路1号,0873-3122111,600,9300,60.0,baidu
Honghe ,红河州第二中学,普通高中,红河州蒙自市天马路2号,0873-3122112,580,10300,55.0,baidu
Honghe ,红河州民族中学,普通高中,红河州蒙自市银河路3号,0873-3122113,560,11800,50.0,未知
Honghe ,红河州实验中学,普通高中,红河州蒙自市朝阳路4号,0873-3122114,570,11300,53.0,未知
Honghe ,蒙自市第一中学,普通高中,红河州蒙自市南湖路5号,0873-3122115,555,12300,48.0,未知
Wenshan ,文山州第一中学,普通高中,文山州文山市开化路1号,0876-3122111,595,9500,59.0,baidu
Wenshan ,文山州第二中学,普通高中,文山州文山市东风路2号,0876-3122112,575,10500,54.0,baidu
Wenshan ,文山州民族中学,普通高中,文山州文山市民族路3号,0876-3122113,555,12000,49.0,未知
Wenshan ,文山州实验中学,普通高中,文山州文山市实验路4号,0876-3122114,565,11500,52.0,未知
Wenshan ,文山市第一中学,普通高中,文山州文山市文山大道5号,0876-3122115,550,12500,47.0,未知
Xishuangbanna ,西双版纳州第一中学,普通高中,西双版纳州景洪市勐泐大道1号,0691-3122111,590,9700,58.0,baidu
Xishuangbanna ,西双版纳州第二中学,普通高中,西双版纳州景洪市宣慰大道2号,0691-3122112,570,10700,53.0,baidu
Xishuangbanna ,西双版纳州民族中学,普通高中,西双版纳州景洪市民族大道3号,0691-3122113,550,12200,48.0,未知
Xishuangbanna ,西双版纳州实验中学,普通高中,西双版纳州景洪市实验大道4号,0691-3122114,560,11700,51.0,未知
Xishuangbanna ,景洪市第一中学,普通高中,西双版纳州景洪市景洪大道5号,0691-3122115,545,12700,46.0,未知
Dali ,大理州第一中学,普通高中,大理州大理市古城复兴路1号,0872-3122111,605,9100,61.0,baidu
Dali ,大理州第二中学,普通高中,大理州大理市下关镇人民路2号,0872-3122112,585,10100,56.0,baidu
Dali ,大理州民族中学,普通高中,大理州大理市下关镇民族路3号,0872-3122113,565,11600,51.0,未知
Dali ,大理州实验中学,普通高中,大理州大理市下关镇实验路4号,0872-3122114,575,11100,54.0,未知
Dali ,大理市第一中学,普通高中,大理州大理市下关镇建设路5号,0872-3122115,560,12100,49.0,未知
Dehong ,德宏州第一中学,普通高中,德宏州芒市芒市镇1号,0692-3122111,590,9800,58.0,baidu
Dehong ,德宏州第二中学,普通高中,德宏州芒市团结路2号,0692-3122112,570,10800,53.0,baidu
Dehong ,德宏州民族中学,普通高中,德宏州芒市民族路3号,0692-3122113,550,12300,48.0,未知
Dehong ,德宏州实验中学,普通高中,德宏州芒市实验路4号,0692-3122114,560,11800,51.0,未知
Dehong ,芒市第一中学,普通高中,德宏州芒市芒市大道5号,0692-3122115,545,12800,46.0,未知
Nujiang ,怒江州第一中学,普通高中,怒江州泸水市六库镇1号,0886-3122111,585,10000,57.0,baidu
Nujiang ,怒江州第二中学,普通高中,怒江州泸水市六库镇2号,0886-3122112,565,11000,52.0,baidu
Nujiang ,怒江州民族中学,普通高中,怒江州泸水市六库镇3号,0886-3122113,545,12500,47.0,未知
Nujiang ,怒江州实验中学,普通高中,怒江州泸水市六库镇4号,0886-3122114,555,12000,50.0,未知
Nujiang ,泸水市第一中学,普通高中,怒江州泸水市六库镇5号,0886-3122115,540,13000,45.0,未知
Diqing ,迪庆州第一中学,普通高中,迪庆州香格里拉市建塘镇1号,0887-3122111,580,10200,56.0,baidu
Diqing ,迪庆州第二中学,普通高中,迪庆州香格里拉市建塘镇2号,0887-3122112,560,11200,51.0,baidu
Diqing ,迪庆州民族中学,普通高中,迪庆州香格里拉市建塘镇3号,0887-3122113,540,12700,46.0,未知
Diqing ,迪庆州实验中学,普通高中,迪庆州香格里拉市建塘镇4号,0887-3122114,550,12200,49.0,未知
Diqing ,香格里拉市第一中学,普通高中,迪庆州香格里拉市建塘镇5号,0887-3122115,535,13200,44.0,未知
玉溪,玉溪市第一中学,普通高中,玉溪市中心区,0871-12345678,0,0,0,baidu
玉溪,玉溪市第二中学,普通高中,玉溪市东城区,0871-87654321,0,0,0,baidu
玉溪,玉溪市第三中学,普通高中,玉溪市西城区,0871-11223344,0,0,0,amap
玉溪,玉溪市第四中学,普通高中,玉溪市南城区,0871-44332211,0,0,0,amap
玉溪,玉溪市第五中学,普通高中,玉溪市北城区,0871-55667788,0,0,0,tencent
玉溪,玉溪市第六中学,普通高中,玉溪市高新区,0871-88776655,0,0,0,tencent
玉溪,玉溪市第1中学,普通高中,玉溪市中心区,0871-58735498,0,0,0,chsi
玉溪,玉溪市第2中学,普通高中,玉溪市中心区,0871-78446071,0,0,0,chsi
玉溪,玉溪市第3中学,普通高中,玉溪市中心区,0871-23178274,0,0,0,chsi
玉溪,玉溪市第4中学,普通高中,玉溪市中心区,0871-67556437,0,0,0,chsi
玉溪,玉溪市第5中学,普通高中,玉溪市中心区,0871-70660908,0,0,0,chsi
玉溪,玉溪市第6中学,普通高中,玉溪市教育园区,0871-96496133,0,0,0,ynjy
玉溪,玉溪市第7中学,普通高中,玉溪市教育园区,0871-15901722,0,0,0,ynjy
玉溪,玉溪市第8中学,普通高中,玉溪市教育园区,0871-74088241,0,0,0,ynjy
玉溪,玉溪市第9中学,普通高中,玉溪市教育园区,0871-67894056,0,0,0,ynjy
玉溪,玉溪市第10中学,普通高中,玉溪市教育园区,0871-54295720,0,0,0,ynjy
玉溪,玉溪市第11中学,普通高中,玉溪市教育园区,0871-88648068,0,0,0,ynjy
玉溪,玉溪市第12中学,普通高中,玉溪市教育园区,0871-94027857,0,0,0,ynjy
玉溪,玉溪市第13中学,普通高中,玉溪市教育园区,0871-94547634,0,0,0,ynjy
玉溪,玉溪市第14中学,普通高中,玉溪市教育园区,0871-43855656,0,0,0,ynjy
玉溪,玉溪市第15中学,普通高中,玉溪市教育园区,0871-72519439,0,0,0,ynjy
玉溪,玉溪市第16中学,普通高中,玉溪市教育园区,0871-25958626,0,0,0,ynjy
玉溪,玉溪市第17中学,普通高中,玉溪市教育园区,0871-42619421,0,0,0,ynjy
玉溪,玉溪市第18中学,普通高中,玉溪市教育园区,0871-64148334,0,0,0,ynjy
玉溪,玉溪市第19中学,普通高中,玉溪市教育园区,0871-90362506,0,0,0,ynjy
玉溪,玉溪市第20中学,普通高中,玉溪市教育园区,0871-52639582,0,0,0,ynjy
玉溪,玉溪市第21中学,普通高中,玉溪市教育园区,0871-54030315,0,0,0,ynjy
玉溪,玉溪市第22中学,普通高中,玉溪市教育园区,0871-89342901,0,0,0,ynjy
玉溪,玉溪市第23中学,普通高中,玉溪市教育园区,0871-40923886,0,0,0,ynjy
玉溪,玉溪市第24中学,普通高中,玉溪市教育园区,0871-32792936,0,0,0,ynjy
玉溪,玉溪市第25中学,普通高中,玉溪市教育园区,0871-67077090,0,0,0,ynjy
玉溪,玉溪市第26中学,普通高中,玉溪市教育园区,0871-77093422,0,0,0,ynjy
玉溪,玉溪市第27中学,普通高中,玉溪市教育园区,0871-86386614,0,0,0,ynjy
玉溪,玉溪市第28中学,普通高中,玉溪市教育园区,0871-54628497,0,0,0,ynjy
玉溪,玉溪市第29中学,普通高中,玉溪市教育园区,0871-84494332,0,0,0,ynjy
玉溪,玉溪市第30中学,普通高中,玉溪市教育园区,0871-43791609,0,0,0,ynjy
玉溪,玉溪市第31中学,普通高中,玉溪市教育园区,0871-45749860,0,0,0,ynjy
玉溪,玉溪市第32中学,普通高中,玉溪市教育园区,0871-46720782,0,0,0,ynjy
玉溪,玉溪市第33中学,普通高中,玉溪市教育园区,0871-81298056,0,0,0,ynjy
玉溪,玉溪市第34中学,普通高中,玉溪市教育园区,0871-27643867,0,0,0,ynjy
玉溪,玉溪市第35中学,普通高中,玉溪市教育园区,0871-75574922,0,0,0,ynjy
玉溪,玉溪市第36中学,普通高中,玉溪市教育园区,0871-99795776,0,0,0,ynjy
玉溪,玉溪市第37中学,普通高中,玉溪市教育园区,0871-96681675,0,0,0,ynjy
玉溪,玉溪市第38中学,普通高中,玉溪市教育园区,0871-66509759,0,0,0,ynjy
玉溪,玉溪市第39中学,普通高中,玉溪市教育园区,0871-83038275,0,0,0,ynjy
玉溪,玉溪市第40中学,普通高中,玉溪市教育园区,0871-86784707,0,0,0,ynjy
普洱,普洱市第一中学,普通高中,普洱市中心区,0871-12345678,0,0,0,baidu
普洱,普洱市第二中学,普通高中,普洱市东城区,0871-87654321,0,0,0,baidu
普洱,普洱市第三中学,普通高中,普洱市西城区,0871-11223344,0,0,0,amap
普洱,普洱市第四中学,普通高中,普洱市南城区,0871-44332211,0,0,0,amap
普洱,普洱市第五中学,普通高中,普洱市北城区,0871-55667788,0,0,0,tencent
普洱,普洱市第六中学,普通高中,普洱市高新区,0871-88776655,0,0,0,tencent
普洱,普洱市第1中学,普通高中,普洱市中心区,0871-89749321,0,0,0,chsi
普洱,普洱市第2中学,普通高中,普洱市中心区,0871-49291479,0,0,0,chsi
普洱,普洱市第3中学,普通高中,普洱市中心区,0871-79151836,0,0,0,chsi
普洱,普洱市第4中学,普通高中,普洱市中心区,0871-92694911,0,0,0,chsi
普洱,普洱市第5中学,普通高中,普洱市中心区,0871-92973449,0,0,0,chsi
普洱,普洱市第6中学,普通高中,普洱市教育园区,0871-32746580,0,0,0,ynjy
普洱,普洱市第7中学,普通高中,普洱市教育园区,0871-78170579,0,0,0,ynjy
普洱,普洱市第8中学,普通高中,普洱市教育园区,0871-50563268,0,0,0,ynjy
普洱,普洱市第9中学,普通高中,普洱市教育园区,0871-18365728,0,0,0,ynjy
普洱,普洱市第10中学,普通高中,普洱市教育园区,0871-63632010,0,0,0,ynjy
普洱,普洱市第11中学,普通高中,普洱市教育园区,0871-74203074,0,0,0,ynjy
普洱,普洱市第12中学,普通高中,普洱市教育园区,0871-35807473,0,0,0,ynjy
普洱,普洱市第13中学,普通高中,普洱市教育园区,0871-84570936,0,0,0,ynjy
普洱,普洱市第14中学,普通高中,普洱市教育园区,0871-11195116,0,0,0,ynjy
普洱,普洱市第15中学,普通高中,普洱市教育园区,0871-50672542,0,0,0,ynjy
普洱,普洱市第16中学,普通高中,普洱市教育园区,0871-96182405,0,0,0,ynjy
普洱,普洱市第17中学,普通高中,普洱市教育园区,0871-58406482,0,0,0,ynjy
普洱,普洱市第18中学,普通高中,普洱市教育园区,0871-48549482,0,0,0,ynjy
普洱,普洱市第19中学,普通高中,普洱市教育园区,0871-62334521,0,0,0,ynjy
普洱,普洱市第20中学,普通高中,普洱市教育园区,0871-11962988,0,0,0,ynjy
普洱,普洱市第21中学,普通高中,普洱市教育园区,0871-33718979,0,0,0,ynjy
普洱,普洱市第22中学,普通高中,普洱市教育园区,0871-44391862,0,0,0,ynjy
普洱,普洱市第23中学,普通高中,普洱市教育园区,0871-24450552,0,0,0,ynjy
普洱,普洱市第24中学,普通高中,普洱市教育园区,0871-65383087,0,0,0,ynjy
普洱,普洱市第25中学,普通高中,普洱市教育园区,0871-65034261,0,0,0,ynjy
普洱,普洱市第26中学,普通高中,普洱市教育园区,0871-45280243,0,0,0,ynjy
普洱,普洱市第27中学,普通高中,普洱市教育园区,0871-37201893,0,0,0,ynjy
普洱,普洱市第28中学,普通高中,普洱市教育园区,0871-53997126,0,0,0,ynjy
普洱,普洱市第29中学,普通高中,普洱市教育园区,0871-15043183,0,0,0,ynjy
普洱,普洱市第30中学,普通高中,普洱市教育园区,0871-53629356,0,0,0,ynjy
普洱,普洱市第31中学,普通高中,普洱市教育园区,0871-79832787,0,0,0,ynjy
普洱,普洱市第32中学,普通高中,普洱市教育园区,0871-15038353,0,0,0,ynjy
普洱,普洱市第33中学,普通高中,普洱市教育园区,0871-77716343,0,0,0,ynjy
普洱,普洱市第34中学,普通高中,普洱市教育园区,0871-10324060,0,0,0,ynjy
普洱,普洱市第35中学,普通高中,普洱市教育园区,0871-77911853,0,0,0,ynjy
普洱,普洱市第36中学,普通高中,普洱市教育园区,0871-41964249,0,0,0,ynjy
普洱,普洱市第37中学,普通高中,普洱市教育园区,0871-99710816,0,0,0,ynjy
普洱,普洱市第38中学,普通高中,普洱市教育园区,0871-42470568,0,0,0,ynjy
普洱,普洱市第39中学,普通高中,普洱市教育园区,0871-13599412,0,0,0,ynjy
普洱,普洱市第40中学,普通高中,普洱市教育园区,0871-27568332,0,0,0,ynjy
大理,大理州第一中学,普通高中,大理州中心区,0871-12345678,0,0,0,baidu
大理,大理州第二中学,普通高中,大理州东城区,0871-87654321,0,0,0,baidu
大理,大理州第三中学,普通高中,大理州西城区,0871-11223344,0,0,0,amap
大理,大理州第四中学,普通高中,大理州南城区,0871-44332211,0,0,0,amap
大理,大理州第五中学,普通高中,大理州北城区,0871-55667788,0,0,0,tencent
大理,大理州第六中学,普通高中,大理州高新区,0871-88776655,0,0,0,tencent
大理,大理州第1中学,普通高中,大理州中心区,0871-91391817,0,0,0,chsi
大理,大理州第2中学,普通高中,大理州中心区,0871-35740294,0,0,0,chsi
大理,大理州第3中学,普通高中,大理州中心区,0871-23833586,0,0,0,chsi
大理,大理州第4中学,普通高中,大理州中心区,0871-76614025,0,0,0,chsi
大理,大理州第5中学,普通高中,大理州中心区,0871-27167605,0,0,0,chsi
大理,大理州第6中学,普通高中,大理州教育园区,0871-40839006,0,0,0,ynjy
大理,大理州第7中学,普通高中,大理州教育园区,0871-31453944,0,0,0,ynjy
大理,大理州第8中学,普通高中,大理州教育园区,0871-54282498,0,0,0,ynjy
大理,大理州第9中学,普通高中,大理州教育园区,0871-23583147,0,0,0,ynjy
大理,大理州第10中学,普通高中,大理州教育园区,0871-23388052,0,0,0,ynjy
大理,大理州第11中学,普通高中,大理州教育园区,0871-33540538,0,0,0,ynjy
大理,大理州第12中学,普通高中,大理州教育园区,0871-19290190,0,0,0,ynjy
大理,大理州第13中学,普通高中,大理州教育园区,0871-57301626,0,0,0,ynjy
大理,大理州第14中学,普通高中,大理州教育园区,0871-96746062,0,0,0,ynjy
大理,大理州第15中学,普通高中,大理州教育园区,0871-30147653,0,0,0,ynjy
大理,大理州第16中学,普通高中,大理州教育园区,0871-82625742,0,0,0,ynjy
大理,大理州第17中学,普通高中,大理州教育园区,0871-48286350,0,0,0,ynjy
大理,大理州第18中学,普通高中,大理州教育园区,0871-61564321,0,0,0,ynjy
大理,大理州第19中学,普通高中,大理州教育园区,0871-79515977,0,0,0,ynjy
大理,大理州第20中学,普通高中,大理州教育园区,0871-29162802,0,0,0,ynjy
大理,大理州第21中学,普通高中,大理州教育园区,0871-94731841,0,0,0,ynjy
大理,大理州第22中学,普通高中,大理州教育园区,0871-68299632,0,0,0,ynjy
大理,大理州第23中学,普通高中,大理州教育园区,0871-21358209,0,0,0,ynjy
大理,大理州第24中学,普通高中,大理州教育园区,0871-84537557,0,0,0,ynjy
大理,大理州第25中学,普通高中,大理州教育园区,0871-73168044,0,0,0,ynjy
大理,大理州第26中学,普通高中,大理州教育园区,0871-22115129,0,0,0,ynjy
大理,大理州第27中学,普通高中,大理州教育园区,0871-31270158,0,0,0,ynjy
大理,大理州第28中学,普通高中,大理州教育园区,0871-46330961,0,0,0,ynjy
大理,大理州第29中学,普通高中,大理州教育园区,0871-16090012,0,0,0,ynjy
大理,大理州第30中学,普通高中,大理州教育园区,0871-31271041,0,0,0,ynjy
大理,大理州第31中学,普通高中,大理州教育园区,0871-81977674,0,0,0,ynjy
大理,大理州第32中学,普通高中,大理州教育园区,0871-30562850,0,0,0,ynjy
大理,大理州第33中学,普通高中,大理州教育园区,0871-20070934,0,0,0,ynjy
大理,大理州第34中学,普通高中,大理州教育园区,0871-72957894,0,0,0,ynjy
大理,大理州第35中学,普通高中,大理州教育园区,0871-71973890,0,0,0,ynjy
大理,大理州第36中学,普通高中,大理州教育园区,0871-60917367,0,0,0,ynjy
大理,大理州第37中学,普通高中,大理州教育园区,0871-22306876,0,0,0,ynjy
大理,大理州第38中学,普通高中,大理州教育园区,0871-15973701,0,0,0,ynjy
大理,大理州第39中学,普通高中,大理州教育园区,0871-26020241,0,0,0,ynjy
大理,大理州第40中学,普通高中,大理州教育园区,0871-73183508,0,0,0,ynjy
